nome,preco,ano,km,vendedor,localização,link,historico,vistoria,marca,motor
Fiat Mobi 1.0 Evo Flex Like. Manual,53990.0,2023,50118,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5036450174-fiat-mobi-10-evo-flex-like-manual-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Fiat,1.0
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,81890.0,2023,46959,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3835963889-chevrolet-onix-10-turbo-flex-plus-ltz-manual-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,84790.0,2023,25403,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3835950575-chevrolet-onix-10-turbo-flex-plus-ltz-manual-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
Hyundai Hb20 1.0 12v Flex Limited Manual,71090.0,2023,56224,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3835947107-hyundai-hb20-10-12v-flex-limited-manual-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Hyundai,1.0
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,81590.0,2023,45774,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3836020791-chevrolet-onix-10-turbo-flex-plus-ltz-manual-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
Peugeot 208 1.6 16v Flex Allure At6,77990.0,2022,44371,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5056034376-peugeot-208-16-16v-flex-allure-at6-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Peugeot,1.6
Fiat Mobi 1.0 Evo Flex Like. Manual,49990.0,2023,57409,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5056109148-fiat-mobi-10-evo-flex-like-manual-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Fiat,1.0
Fiat Pulse 1.0 Turbo 200 Flex Audace Cvt,96490.0,2022,58322,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5054945672-fiat-pulse-10-turbo-200-flex-audace-cvt-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Fiat,1.0
Hyundai Hb20 1.0 12v Flex Sense Manual,61990.0,2023,52374,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3846075733-hyundai-hb20-10-12v-flex-sense-manual-_JM#position%3D13%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Hyundai,1.0
Chevrolet Onix 1.0 Turbo Flex Ltz Automático,94690.0,2023,9021,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3846068007-chevrolet-onix-10-turbo-flex-ltz-automatico-_JM#position%3D14%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
